Restaurant_Latitude,Restaurant_Longitude,Restaurant_Zip_code,POI_Type,Count
48.868105,2.284365,75116,lodging,17
48.8650573,2.2865211,75116,lodging,17
48.865831,2.283666,75016,lodging,17
48.86507,2.28751,75016,lodging,17
48.86018,2.2749799,75116,lodging,17
48.85911973,2.28314827,75016,lodging,17
48.86885,2.2848,75116,lodging,17
48.864863,2.288216,75116,lodging,17
48.86378161,2.28562125,75116,lodging,17
48.864897,2.289009,75016,lodging,17
48.85202,2.3388,75006,lodging,18
48.857,2.3386999,75006,lodging,18
48.85806646,2.328236971,75007,lodging,18
48.85461,2.33954,75006,lodging,18
48.84980922,2.345152823,75005,lodging,18
48.848966,2.340349,75006,lodging,18
48.8519457,2.338757488,75006,lodging,18
48.85303987,2.338731121,75006,lodging,18
48.85423,2.33699,75006,lodging,18
48.85406,2.33691,75006,lodging,18
48.852067,2.334431,75006,lodging,18
48.853123,2.331244,75006,lodging,18
48.85681072,2.327850689,75007,lodging,18
48.853198,2.337687,75006,lodging,18
48.85339,2.3453,75005,lodging,18
48.8604,2.34055,75001,lodging,18
48.85643,2.33153,75007,lodging,18
48.852768,2.336005,75006,lodging,18
48.85469,2.3329,75006,lodging,18
48.8583205,2.3346584,75006,lodging,18
48.854343,2.340276,75006,lodging,18
48.852616,2.34702,75005,lodging,18
48.85502,2.3412099,75006,lodging,18
48.85134,2.34452,75005,lodging,18
48.85185,2.33366,75006,lodging,18
48.851586,2.33885,75006,lodging,18
48.852558,2.340719,75006,lodging,18
48.85327533,2.337029,75006,lodging,18
48.85467,2.33806,75006,lodging,18
48.85822597,2.350426581,75004,lodging,18
48.8555801,2.3400906,75006,lodging,18
48.85186,2.33441,75006,lodging,18
48.85339,2.33595,75012,lodging,18
48.8605269,2.3459065,75001,lodging,18
48.85635,2.33524,75006,lodging,18
48.8538,2.32749,75007,lodging,18
48.86206,2.334521,75001,lodging,18
48.85188,2.34917,75005,lodging,18
48.86164412,2.342015709,75001,lodging,18
48.85339882,2.337799534,75006,lodging,18
48.848422,2.346513,75005,lodging,18
48.8555969,2.334102,75006,lodging,18
48.861797,2.343306,75001,lodging,18
48.88187,2.3346,75009,lodging,18
48.87918,2.34367,75009,lodging,18
48.885237,2.335898,75018,lodging,18
48.879257,2.337556,75009,lodging,18
48.88683005,2.338179499,75018,lodging,18
48.88688,2.3445299,75018,lodging,18
48.88046,2.3402,75009,lodging,18
48.886,2.33428,75018,lodging,18
48.88044703,2.337584281,75009,lodging,18
48.873498,2.343626,75009,lodging,18
48.879965,2.329399,75009,lodging,18
48.87938588,2.337191105,75009,lodging,18
48.88258,2.33744,75018,lodging,18
48.886483,2.344328,75018,lodging,18
48.880937,2.3499401,75010,lodging,18
48.8823099,2.33311,75009,lodging,18
